unilemma,num_forms
immediately,2
in the mornings,2
indicate,2
is sleeping,2
just,2
kangaroo,2
kid's song,2
kimchi,2
kind,2
king,2
ladle,2
lah lah,2
lend,2
let's,2
lips,2
live,2
look at me,2
lotion,2
low,2
lullaby,2
map,2
marbles,2
marker,2
mat,2
matches,2
material,2
maybe,2
mayonnaise,2
measure,2
melt,2
messy,2
microscope,2
might,2
moment,2
month,2
mother's name,2
muddy,2
name,2
neighborhood,2
nephew,2
nightgown,2
no more,2
nobody,2
not allowed,2
nutella,2
obedient,2
office,2
on (description),2
once,2
pan,2
paper towel,2
passion fruit,2
pat,2
path,2
patio,2
pill,2
pine cone,2
pita,2
pitiful,2
place,2
playhouse,2
playroom,2
poke,2
pork,2
post office,2
prick,2
prince,2
promise,2
puppet,2
put down,2
quesadilla,2
queue,2
rabbit,2
racket,2
radish,2
rainbow,2
rainy,2
real,2
REFL.POSS,2
repair,2
return,2
ribbon,2
rice cake,2
rich,2
rinse,2
robin,2
rocking horse,2
rotten,2
rub,2
rug,2
samosa,2
sauna,2
schnitzel,2
see you later,2
self,2
sell,2
send,2
shame,2
sharp,2
shutter,2
sign,2
similar,2
sleeve,2
slip,2
smock,2
snot,2
soccer,2
somewhere,2
soy milk,2
soy sauce,2
squash,2
stamp (action),2
standing,2
station,2
steak,2
stereo,2
sting,2
stork,2
straw,2
study,2
suburb,2
subway,2
suck,2
surprise,2
swallow (animal),2
tail,2
take in arms,2
tarhana,2
teacher's name,2
them,2
there is,2
therefore,2
thigh,2
thing,2
through,2
ticket,2
tie (object),2
tight,2
to hurry up,2
to there,2
to throw,2
toy (description),2
trash can,2
travel,2
try on,2
tunnel,2
turn hands,2
turnip,2
us,2
use,2
value (action),2
vinegar,2
wagon,2
walker,2
what kind,2
what time,2
where (conjunction),2
who's there,2
wine,2
wing,2
winter,2
wood,2
years old,2
able,3
accident,3
alone,3
as,3
attic,3
avocado,3
bake,3
baker,3
bang,3
barber,3
be able,3
bead,3
bin,3
bless you,3
bright,3
ceiling,3
chicken,3
child's name,3
chili,3
circle,3
cock-a-doodle-doo,3
coo,3
crab,3
crawl,3
cross,3
daughter,3
dessert,3
doorbell,3
dragonfly,3
driver,3
earth,3
easy,3
escape,3
fair,3
fear,3
fireplace,3
five,3
fog,3
forward,3
fridge/freezer,3
gate,3
get on,3
ginger,3
give me,3
go down,3
go for a walk,3
good evening,3
grow,3
guinea pig,3
guitar,3
hair clip,3
hair dryer,3
half,3
has to,3
he,3
heater/fireplace,3
her,3
in front of,3
into,3
is that okay?,3
joke,3
kale,3
kefir,3
ketchup,3
large,3
laundry,3
lawn,3
lay,3
lemme,3
lettuce,3
liar,3
little,3
locomotive,3
lost,3
lunch (action),3
mad,3
maid,3
mess,3
mine,3
mole,3
naked,3
needle,3
not do,3
nugget,3
octopus,3
only,3
outlet,3
ox,3
paint (object),3
panther,3
pass,3
pavement,3
persimmon,3
plantain,3
plaza,3
point,3
princess,3
pump (object),3
puree,3
quickly,3
reindeer,3
reverse,3
salami,3
scold,3
scream,3
shark,3
shelf,3
shrimp,3
slowly,3
someone,3
somersault,3
sometimes,3
son,3
squat,3
squeeze,3
stack (action),3
stomp,3
stupid,3
such,3
suit,3
sweet potato,3
tablecloth,3
take a nap,3
take out,3
tender,3
theater,3
their,3
thump,3
thunder,3
tighten,3
tough,3
traffic light,3
twist,3
video recorder,3
voice recorder,3
wasp,3
we,3
week,3
wet,3
which (connecting),3
without,3
yay,3
year,3
yourself,3
3PL.REFL,4
air conditioner,4
amusement park,4
awoo,4
back (preposition),4
backyard,4
bagel,4
bank,4
bat (animal),4
beer,4
beetle,4
beverage,4
bridge,4
bush,4
calm,4
care,4
cassava,4
caterpillar,4
caw,4
children,4
chimney,4
cigarette,4
clementine,4
color (action),4
compote,4
cream cheese,4
cuddle,4
deaf,4
dragon,4
drawing,4
dummy,4
dustpan,4
eagle,4
everyone,4
eyelash,4
female,4
fence,4
few,4
fingernail,4
foam,4
fragrant,4
great grandma,4
great grandpa,4
hairdresser,4
his,4
hop,4
insert,4
it,4
jello,4
knock knock,4
less,4
library,4
lock (action),4
lower (action),4
machete,4
me,4
miss,4
no one,4
on top of,4
our,4
painful,4
papaya,4
peacock,4
piece,4
pinch,4
pineapple,4
playpen,4
plug,4
pocket,4
pond,4
postman,4
quietly,4
radiator,4
raincoat,4
raspberry,4
rat,4
receive,4
rip,4
rock (action),4
shawl,4
ship,4
smoothie,4
soldier,4
speak,4
start,4
sticker,4
strange,4
swan,4
take a bath,4
take away,4
terrace,4
tiny,4
tire (action),4
tofu,4
toilet paper,4
tower,4
trampoline,4
tv,4
undershirt,4
until,4
vase,4
waffle,4
washcloth,4
watering can,4
welcome,4
well (modifier),4
were,4
whale,4
will be,4
win,4
witch,4
yogurt drink,4
3SG.REFL,5
allow,5
bacon,5
baseball,5
basketball,5
battery,5
be scared,5
begin,5
birthday,5
bowling,5
bracelet,5
building,5
calf,5
camel,5
cap,5
card,5
carousel,5
CD,5
cell phone,5
closed,5
cottage cheese,5
daycare,5
descend,5
did,5
die,5
difficult,5
dig,5
dine,5
disgusting,5
dolphin,5
everything,5
fan,5
fill,5
follow,5
four,5
friends' names,5
give me five,5
go up,5
golf,5
gonna get you,5
grocery,5
hang,5
have to,5
heart,5
hiss,5
hole,5
honk honk,5
how are you,5
jug,5
light (action),5
lightning,5
like this,5
lizard,5
lose,5
middle,5
monster,5
mop,5
mug,5
my,5
neighbor,5
orange juice,5
pickle,5
plum,5
roll (action),5
sardine,5
scary,5
seagull,5
sign (action),5
skate (object),5
skunk,5
smelly,5
song,5
spin,5
stick (object),5
swallow,5
tag,5
they,5
throat,5
trolley,5
very,5
video,5
wee woo,5
well-behaved,5
when (conjunction),5
whose,5
your,5
afraid,6
alligator,6
am,6
applesauce,6
are,6
baby food,6
bang bang,6
brush teeth,6
can (object),6
cherry,6
clip clop,6
coconut,6
come on,6
cool (description),6
cover (object),6
downtown,6
dream,6
drip,6
furniture,6
greet,6
him,6
hot chocolate,6
iron (object),6
keys,6
kiwi,6
lake,6
let,6
microwave,6
move,6
olive,6
onion,6
outing,6
overalls,6
palm,6
panda,6
peel,6
piano,6
put in,6
quiet (action),6
rake (object),6
ready,6
ribbit,6
ring (object),6
ring around the rosie,6
roar,6
rope,6
round,6
salty,6
scratch,6
seal (animal),6
sheet,6
sibling,6
sir,6
sneeze,6
so big,6
something,6
sponge,6
step,6
stir,6
teapot,6
this little piggy,6
tie (action),6
towards,6
tram,6
understand,6
wave,6
wet (action),6
worm,6
wrong,6
beard,7
berry,7
breakfast (action),7
buzz,7
carrots,7
chopstick,7
city,7
clay,7
cluck,7
could,7
count,7
cream,7
curtain,7
digger,7
elbow,7
enough,7
farmer,7
fight,7
flower pot,7
forehead,7
forget,7
get off,7
go to bed,7
ground,7
how many,7
how much,7
I,7
kite,7
late,7
lemonade,7
letter,7
light (description),7
mango,7
moose,7
mud,7
nasty,7
noodles,7
noon,7
on top,7
open (description),7
pepper,7
pick up,7
pie,7
police car,7
press,7
puddle,7
ring ring,7
river,7
santa claus,7
save,7
seesaw,7
shed,7
smoke,7
spicy,7
tape,7
thin,7
tortilla,7
would,7
you,7
about,8
all done,8
bitter,8
cannot,8
cocoa,8
cough,8
crane,8
dinosaur,8
family,8
fireman,8
grab,8
jeep,8
music,8
peanut,8
pipe,8
pretzel,8
rag,8
search,8
sour,8
sparrow,8
spit,8
sprinkler,8
squeak,8
stool,8
swimming pool,8
together,8
tracksuit,8
vegetable,8
watch out,8
a little,9
ask,9
bandaid,9
boom,9
burn,9
cloth,9
cockroach,9
coin,9
football,9
funny,9
goal,9
green beans,9
hide and seek,9
mushroom,9
painting,9
policeman,9
porch,9
put on,9
remember,9
robot,9
shampoo,9
smart,9
spinach,9
tangerine,9
tasty,9
three,9
top,9
vest,9
back,10
choose,10
coke,10
early,10
elevator,10
field,10
go out,10
godmother,10
learn,10
lift (action),10
look for,10
muffin,10
must,10
mustache,10
nursery,10
oink,10
pink,10
tall,10
taxi,10
teach,10
turn around,10
wheel,10
wow,10
beep beep,11
below,11
candle,11
cradle,11
different,11
donut,11
dump,11
every,11
from,11
gun,11
keep,11
lemon,11
meatball,11
neigh,11
one two three,11
parrot,11
peanut butter,11
quick,11
remote control,11
should,11
snack,11
snail,11
soil,11
spade,11
strong,11
tick tock,11
tuna,11
wallet,11
between,12
biscuit,12
can,12
corridor,12
crazy,12
eyebrow,12
fire,12
get up,12
godfather,12
hot dog,12
is,12
leaf,12
peach,12
restaurant,12
salad,12
silly,12
smell,12
sweets,12
tape (object),12
too,12
two,12
wish,12
bat (object),13
bell,13
cabbage,13
cheerios,13
each,13
fat,13
gentle,13
hedgehog,13
ladybug,13
lie down,13
pastry,13
pigeon,13
purple,13
snowsuit,13
syrup,13
thumb,13
tray,13
turn off,13
vanilla,13
was,13
ankle,14
boot,14
by,14
dumpling,14
hee haw,14
hippopotamus,14
jelly,14
mountain,14
newspaper,14
or,14
POSS,14
REFL,14
sorry,14
stuck,14
toothpaste,14
try,14
turn,14
warm,14
will,14
2SG.REFL,15
around,15
bravo,15
bump,15
chalk,15
cupboard,15
mop (object),15
oh,15
short,15
shout,15
soon,15
toilet,15
town,15
afternoon,16
already,16
armchair,16
bench,16
brush (action),16
dress (action),16
faucet,16
fit,16
kindergarten,16
kitty,16
mitten,16
near,16
owie,16
play pen,16
popsicle,16
pumpkin,16
small,16
turn on,16
vitamin,16
yummy,16
asleep,17
back (body part),17
evening,17
finished,17
honey,17
hospital,17
in front,17
noisy,17
penny,17
popcorn,17
pretend,17
sandbox,17
skate (action),17
sneaker,17
wall,17
wear,17
any,18
at,18
chick,18
drum (object),18
dryer,18
ham,18
jar,18
know,18
lady,18
lawn mower,18
much,18
pattycake,18
picnic,18
play dough,18
sidewalk,18
swimsuit,18
tweet tweet,18
umbrella,18
windy,18
1SG.REFL,19
bathe,19
beads,19
better,19
camping,19
carpet,19
cowboy,19
earring,19
floor,19
fly (action),19
good morning,19
hate,19
next to,19
over,19
photo,19
pick,19
pudding,19
spaghetti,19
balcony,20
basement,20
crow,20
cucumber,20
enter,20
front,20
fruit,20
nail (object),20
pony,20
puppy,20
road,20
ugly,20
vagina,20
cousin,21
drink (beverage),21
leave,21
mosquito,21
beautiful,22
far,22
firefighter,22
hurt (action),22
need,22
off,22
ok,22
one,22
poop,22
poor,22
remove,22
awake,23
circus,23
comb (action),23
computer,23
jeans,23
market,23
napkin,23
pencil,23
share,23
sugar,23
sweet,23
tell,23
time,23
uh oh,23
beside,24
clothes,24
country,24
farm,24
fine,24
gas station,24
hen,24
high chair,24
movie,24
of,24
rocking chair,24
shopping,24
tricycle,24
2PL.POSS,25
chase,25
come,25
crayon,25
glue (object),25
grrr,25
hose,25
mailman,25
nothing,25
pee,25
sea,25
woman,25
also,26
dry (action),26
fox,26
hamburger,26
laugh,26
neck,26
stay,26
sticky,26
watermelon,26
ambulance,27
crib,27
french fries,27
ice,27
loud,27
make,27
nail (body part),27
nurse,27
sausage,27
turkey,27
wanna,27
build,28
dish,28
goat,28
melon,28
roof,28
t-shirt,28
then,28
babysitter's name,29
breast,29
corn,29
pet's name,29
sandal,29
sled,29
snowman,29
2PL,30
last,30
sand,30
slide (action),30
spider,30
spill,30
story,30
cover (action),31
knock,31
lamb,31
shoulder,31
skirt,31
3PL.POSS,32
again,32
belt,32
fix,32
get,32
hold,32
lick,32
lip,32
lollipop,32
pancake,32
pear,32
pot,32
tonight,32
watch (action),32
before,33
brown,33
flag,33
forest,33
go potty,33
ladder,33
orange (description),33
puzzle,33
raisin,33
so,33
toe,33
wake,33
yucky,33
a,34
back (location),34
basket,34
bun,34
first,34
gum,34
little (amount),34
penis,34
sauce,34
shake,34
splash,34
stove,34
water (not beverage),34
a lot,35
carry,35
crocodile,35
don't,35
game,35
listen,35
nap,35
pacifier,35
pen,35
pizza,35
pour,35
purse,35
quiet,35
sleepy,35
sweep,35
taste,35
teddybear,35
closet,36
drop,36
if,36
mirror,36
playground,36
sad,36
tights,36
watch (object),36
yard,36
zebra,36
bag,37
behind,37
breakfast,37
bubbles,37
call,37
chin,37
cracker,37
glove,37
high,37
long,37
police,37
porridge,37
present,37
stick,37
tissue,37
toast,37
with,37
dinner,38
find,38
hurt (description),38
person,38
plant,38
rooster,38
stone,38
think,38
wipe,38
work (place),38
cereal,39
clown,39
fly (animal),39
for,39
goose,39
like,39
lunch,39
salt,39
tomato,39
all gone,40
away,40
firetruck,40
helicopter,40
nut,40
pen/pencil,40
people,40
rock (object),40
sandwich,40
tear,40
to,40
and,41
careful,41
chips,41
jam,41
many,41
oven,41
ride,41
shower,41
slipper,41
snake,41
some,41
strawberry,41
these,41
above,42
ant,42
babysitter,42
because,42
but,42
camera,42
choo choo,42
slow,42
talk,42
tractor,42
when (question),42
cook,43
drive,43
hi,43
those,43
work (action),43
yogurt,43
grapes,44
hear,44
naughty,44
pool,44
scarf,44
washing machine,44
wind,44
bathtub,45
bug,45
do,45
not,45
paint (action),45
penguin,45
shorts,45
street,45
yellow,45
yesterday,45
boots,46
buy,46
clap,46
hurry,46
love,46
new,46
nice,46
on,46
same,46
shovel,46
smile,46
soda,46
tea,46
tickle,46
white,46
after,47
beans,47
bedroom,47
can (auxiliary),47
chicken (food),47
clock,47
coffee,47
heavy,47
living room,47
necklace,47
out,47
peas,47
peekaboo,47
rice,47
scared,47
squirrel,47
thirsty,47
vacuum,47
which (question),47
1PL.POSS,48
angry,48
beach,48
bucket,48
climb,48
cockadoodledoo,48
cut,48
dry (description),48
green,48
hide,48
later,48
room,48
stand,48
zipper,48
cute,49
feed,49
garage,49
moo,49
none,49
old,49
owl,49
pretty,49
another,50
black,50
bowl,50
bring,50
butt,50
butter,50
foot,50
ouch,50
show,50
swing (action),50
vroom,50
catch,51
deer,51
drawer,51
full,51
grass,51
sink,51
slide (object),51
teacher,51
wolf,51
yum yum,51
arm,52
cheek,52
garden,52
inside,52
jacket,52
light (object),52
other,52
tired,52
chocolate,53
cloud,53
doctor,53
hammer,53
party,53
please,53
quack quack,53
snow,53
swim,53
church,54
good night,54
hard,54
kick,54
knee,54
lamp,54
man,54
sky,54
soft,54
the,54
underpants,54
zoo,54
bib,55
carrot,55
clean (action),55
coat,55
park,55
turtle,55
write,55
blue,56
brush (object),56
fish (food),56
fork,56
glass,56
have,56
pajamas,56
picture,56
want,56
wet (description),56
bee,57
clean (description),57
cookie,57
fast,57
giraffe,57
help,57
hungry,57
knife,57
meow,57
say,57
scissors,57
stroller,57
tomorrow,57
toy (object),57
under,57
up,57
belly button,58
dark,58
day,58
donkey,58
draw,58
dress (object),58
finish,58
girl,58
hello,58
hug,58
morning,58
potty,58
shirt,58
broom,59
friend,59
little (description),59
swing (object),59
today,59
toothbrush,59
woof woof,59
animal,60
bath,60
blow,60
child,60
down,60
face,60
food,60
hair,60
refrigerator,60
see,60
shh,60
baa baa,61
blocks,61
broken,61
butterfly,61
cheese,61
finger,61
home,61
in,61
night,61
pillow,61
pull,61
radio,61
red,61
tiger,61
touch,61
bite,62
boat,62
boy,62
bunny,62
candy,62
glasses,62
money,62
mouth,62
potato,62
sing,62
soup,62
stop,62
bathroom,63
button,63
diaper,63
empty,63
medicine,63
stairs,63
tongue,63
tummy,63
window,63
balloon,64
couch,64
dance,64
egg,64
frog,64
how,64
ice cream,64
key,64
motorcycle,64
plate,64
school,64
sheep,64
sick,64
TV,64
banana,65
bear,65
big,65
bus,65
elephant,65
hand,65
head,65
jump,65
push,65
tooth,65
3PL,66
apple,66
chicken (animal),66
comb (object),66
ear,66
eye,66
mouse,66
nose,66
pasta,66
pig,66
read,66
soap,66
star,66
thank you,66
truck,66
box,67
break,67
drink (action),67
moon,67
paper,67
towel,67
go,68
happy,68
lion,68
more,68
sit,68
who,68
why,68
1PL,69
airplane,69
baby,69
bicycle,69
blanket,69
cake,69
cup,69
door,69
horse,69
leg,69
now,69
orange (food),69
train,69
water (beverage),69
cry,70
doll,70
house,70
juice,70
kiss,70
kitchen,70
open (action),70
sun,70
throw,70
tree,70
bad,71
chair,71
cold,71
daddy,71
duck,71
flower,71
give,71
hit,71
milk,71
monkey,71
sister,71
sock,71
table,71
yes,71
cow,72
sleep,72
store,72
brother,73
hot,73
look,73
meat,73
spoon,73
sweater,73
be,74
close,74
dog,74
fall,74
fish (animal),74
good,74
outside,74
run,74
bed,75
bird,75
bread,75
put,75
book,76
cat,76
mommy,76
pants,76
take,76
where (question),76
child's own name,77
play,77
rain,77
telephone,77
car,78
dirty,78
no,78
trash,78
wait,78
walk,78
wash,78
all,80
bye,80
here,81
what,82
eat,85
bottle,86
shoe,86
2SG.POSS,87
ball,88
grandpa,88
hat,90
there,90
3SG.POSS,93
grandma,95
2SG,96
aunt,96
1SG.POSS,101
uncle,103
this,114
1SG,121
that,127
3SG,152
